DISKWRITE,Disk Write KB/s VM-12-13-centos,vda,vda1,sr0
DISKWRITE,T0500,115.1,115.1,0.0
DISKWRITE,T0501,15.2,15.2,0.0
DISKWRITE,T0502,96.7,96.7,0.0
DISKWRITE,T0503,9.6,9.6,0.0
DISKWRITE,T0504,154.2,154.2,0.0
DISKWRITE,T0505,9.6,9.6,0.0
DISKWRITE,T0506,95.9,95.9,0.0
DISKWRITE,T0507,16.8,16.8,0.0
DISKWRITE,T0508,87.9,87.9,0.0
DISKWRITE,T0509,24.0,24.0,0.0
DISKWRITE,T0510,100.7,100.7,0.0
DISKWRITE,T0511,28.0,28.0,0.0
DISKWRITE,T0512,83.1,83.1,0.0
DISKWRITE,T0513,28.8,28.8,0.0
DISKWRITE,T0514,103.1,103.1,0.0
DISKWRITE,T0515,33.6,33.6,0.0
DISKWRITE,T0516,168.6,168.6,0.0
DISKWRITE,T0517,30.4,30.4,0.0
DISKWRITE,T0518,83.1,83.1,0.0
DISKWRITE,T0519,31.2,31.2,0.0
DISKWRITE,T0520,77.5,77.5,0.0
DISKWRITE,T0521,37.6,37.6,0.0
DISKWRITE,T0522,106.3,106.3,0.0
DISKWRITE,T0523,10.4,10.4,0.0
DISKWRITE,T0524,97.5,97.5,0.0
DISKWRITE,T0525,10.4,10.4,0.0
DISKWRITE,T0526,95.1,95.1,0.0
DISKWRITE,T0527,15.2,15.2,0.0
DISKWRITE,T0528,171.8,171.8,0.0
DISKWRITE,T0529,10.4,10.4,0.0
DISKWRITE,T0530,94.3,94.3,0.0
DISKWRITE,T0531,9.6,9.6,0.0
DISKWRITE,T0532,73.5,73.5,0.0
DISKWRITE,T0533,22.4,22.4,0.0
DISKWRITE,T0534,107.9,107.9,0.0
DISKWRITE,T0535,52.7,52.7,0.0
DISKWRITE,T0536,86.3,86.3,0.0
DISKWRITE,T0537,27.2,27.2,0.0
DISKWRITE,T0538,78.3,78.3,0.0
DISKWRITE,T0539,27.2,27.2,0.0
DISKWRITE,T0540,126.3,126.3,0.0
DISKWRITE,T0541,41.6,41.6,0.0
DISKWRITE,T0542,95.9,95.9,0.0
DISKWRITE,T0543,15.2,15.2,0.0
DISKWRITE,T0544,94.3,94.3,0.0
DISKWRITE,T0545,9.6,9.6,0.0
DISKWRITE,T0546,112.7,112.7,0.0
DISKWRITE,T0547,12.0,12.0,0.0
DISKWRITE,T0548,102.3,102.3,0.0
DISKWRITE,T0549,36.0,36.0,0.0
DISKWRITE,T0550,99.1,99.1,0.0
DISKWRITE,T0551,10.4,10.4,0.0
DISKWRITE,T0552,114.3,114.3,0.0
DISKWRITE,T0553,25.5,25.5,0.0
DISKWRITE,T0554,84.7,84.7,0.0
DISKWRITE,T0555,28.8,28.8,0.0
DISKWRITE,T0556,104.7,104.7,0.0
DISKWRITE,T0557,28.8,28.8,0.0
DISKWRITE,T0558,90.3,90.3,0.0
DISKWRITE,T0559,85.5,85.5,0.0
DISKWRITE,T0560,83.1,83.1,0.0
DISKWRITE,T0561,28.0,28.0,0.0
DISKWRITE,T0562,85.5,85.5,0.0
DISKWRITE,T0563,43.2,43.2,0.0
DISKWRITE,T0564,103.1,103.1,0.0
DISKWRITE,T0565,9.6,9.6,0.0
DISKWRITE,T0566,94.3,94.3,0.0
DISKWRITE,T0567,10.4,10.4,0.0
DISKWRITE,T0568,95.1,95.1,0.0
DISKWRITE,T0569,15.2,15.2,0.0
DISKWRITE,T0570,148.6,148.6,0.0
DISKWRITE,T0571,14.4,14.4,0.0
DISKWRITE,T0572,95.9,95.9,0.0
DISKWRITE,T0573,9.6,9.6,0.0
DISKWRITE,T0574,72.7,72.7,0.0
DISKWRITE,T0575,22.4,22.4,0.0
DISKWRITE,T0576,167.0,167.0,0.0
DISKWRITE,T0577,51.1,51.1,0.0
DISKWRITE,T0578,86.3,86.3,0.0
DISKWRITE,T0579,22.4,22.4,0.0
DISKWRITE,T0580,80.7,80.7,0.0
DISKWRITE,T0581,27.2,27.2,0.0
DISKWRITE,T0582,82.3,82.3,0.0
DISKWRITE,T0583,32.8,32.8,0.0
DISKWRITE,T0584,95.9,95.9,0.0
DISKWRITE,T0585,16.0,16.0,0.0
DISKWRITE,T0586,95.1,95.1,0.0
DISKWRITE,T0587,9.6,9.6,0.0
DISKWRITE,T0588,164.6,164.6,0.0
DISKWRITE,T0589,12.8,12.8,0.0
DISKWRITE,T0590,103.1,103.1,0.0
DISKWRITE,T0591,40.0,40.0,0.0
DISKWRITE,T0592,99.1,99.1,0.0
DISKWRITE,T0593,9.6,9.6,0.0
DISKWRITE,T0594,101.5,101.5,0.0
DISKWRITE,T0595,9.6,9.6,0.0
DISKWRITE,T0596,73.5,73.5,0.0
DISKWRITE,T0597,28.8,28.8,0.0
DISKWRITE,T0598,100.7,100.7,0.0
DISKWRITE,T0599,26.4,26.4,0.0
DISKWRITE,T0600,133.5,133.5,0.0
DISKWRITE,T0601,22.4,22.4,0.0
DISKWRITE,T0602,81.5,81.5,0.0
DISKWRITE,T0603,31.2,31.2,0.0
DISKWRITE,T0604,83.1,83.1,0.0
DISKWRITE,T0605,53.5,53.5,0.0
DISKWRITE,T0606,161.4,161.4,0.0
DISKWRITE,T0607,24.8,24.8,0.0
DISKWRITE,T0608,79.9,79.9,0.0
DISKWRITE,T0609,12.8,12.8,0.0
DISKWRITE,T0610,96.7,96.7,0.0
DISKWRITE,T0611,16.0,16.0,0.0
DISKWRITE,T0612,128.7,128.7,0.0
DISKWRITE,T0613,16.8,16.8,0.0
DISKWRITE,T0614,95.1,95.1,0.0
DISKWRITE,T0615,9.6,9.6,0.0
DISKWRITE,T0616,93.5,93.5,0.0
DISKWRITE,T0617,9.6,9.6,0.0
DISKWRITE,T0618,113.5,113.5,0.0
DISKWRITE,T0619,20.0,20.0,0.0
DISKWRITE,T0620,86.3,86.3,0.0
DISKWRITE,T0621,23.2,23.2,0.0
DISKWRITE,T0622,83.1,83.1,0.0
DISKWRITE,T0623,22.4,22.4,0.0
DISKWRITE,T0624,131.9,131.9,0.0
DISKWRITE,T0625,33.6,33.6,0.0
DISKWRITE,T0626,99.1,99.1,0.0
DISKWRITE,T0627,34.4,34.4,0.0
DISKWRITE,T0628,77.5,77.5,0.0
DISKWRITE,T0629,27.2,27.2,0.0
DISKWRITE,T0630,83.1,83.1,0.0
DISKWRITE,T0631,105.5,105.5,0.0
DISKWRITE,T0632,104.7,104.7,0.0
DISKWRITE,T0633,11.2,11.2,0.0
DISKWRITE,T0634,96.7,96.7,0.0
DISKWRITE,T0635,9.6,9.6,0.0
DISKWRITE,T0636,136.6,136.6,0.0
DISKWRITE,T0637,10.4,10.4,0.0
DISKWRITE,T0638,93.5,93.5,0.0
DISKWRITE,T0639,9.6,9.6,0.0
DISKWRITE,T0640,95.1,95.1,0.0
DISKWRITE,T0641,0.0,0.0,0.0
DISKWRITE,T0642,126.3,126.3,0.0
DISKWRITE,T0643,22.4,22.4,0.0
DISKWRITE,T0644,82.3,82.3,0.0
DISKWRITE,T0645,22.4,22.4,0.0
DISKWRITE,T0646,81.5,81.5,0.0
DISKWRITE,T0647,28.8,28.8,0.0
DISKWRITE,T0648,142.3,142.3,0.0
DISKWRITE,T0649,59.9,59.9,0.0
DISKWRITE,T0650,75.9,75.9,0.0
DISKWRITE,T0651,28.0,28.0,0.0
DISKWRITE,T0652,75.9,75.9,0.0
DISKWRITE,T0653,10.4,10.4,0.0
DISKWRITE,T0654,111.1,111.1,0.0
DISKWRITE,T0655,81.5,81.5,0.0
DISKWRITE,T0656,95.9,95.9,0.0
DISKWRITE,T0657,10.4,10.4,0.0
DISKWRITE,T0658,127.1,127.1,0.0
DISKWRITE,T0659,9.6,9.6,0.0
DISKWRITE,T0660,97.5,97.5,0.0
DISKWRITE,T0661,9.6,9.6,0.0
DISKWRITE,T0662,94.3,94.3,0.0
DISKWRITE,T0663,0.0,0.0,0.0
DISKWRITE,T0664,103.1,103.1,0.0
DISKWRITE,T0665,27.2,27.2,0.0
DISKWRITE,T0666,99.9,99.9,0.0
DISKWRITE,T0667,27.2,27.2,0.0
DISKWRITE,T0668,81.5,81.5,0.0
DISKWRITE,T0669,30.4,30.4,0.0
DISKWRITE,T0670,76.7,76.7,0.0
DISKWRITE,T0671,51.1,51.1,0.0
DISKWRITE,T0672,142.2,142.2,0.0
DISKWRITE,T0673,38.4,38.4,0.0
DISKWRITE,T0674,86.3,86.3,0.0
DISKWRITE,T0675,10.4,10.4,0.0
DISKWRITE,T0676,95.1,95.1,0.0
DISKWRITE,T0677,33.6,33.6,0.0
DISKWRITE,T0678,119.1,119.1,0.0
DISKWRITE,T0679,14.4,14.4,0.0
DISKWRITE,T0680,103.1,103.1,0.0
DISKWRITE,T0681,9.6,9.6,0.0
DISKWRITE,T0682,94.3,94.3,0.0
DISKWRITE,T0683,9.6,9.6,0.0
DISKWRITE,T0684,153.4,153.4,0.0
DISKWRITE,T0685,6.4,6.4,0.0
DISKWRITE,T0686,91.9,91.9,0.0
DISKWRITE,T0687,27.2,27.2,0.0
DISKWRITE,T0688,83.9,83.9,0.0
DISKWRITE,T0689,22.4,22.4,0.0
DISKWRITE,T0690,91.1,91.1,0.0
DISKWRITE,T0691,57.4,57.4,0.0
DISKWRITE,T0692,83.1,83.1,0.0
DISKWRITE,T0693,39.2,39.2,0.0
DISKWRITE,T0694,79.1,79.1,0.0
DISKWRITE,T0695,34.4,34.4,0.0
DISKWRITE,T0696,164.6,164.6,0.0
DISKWRITE,T0697,16.0,16.0,0.0
DISKWRITE,T0698,119.1,119.1,0.0
DISKWRITE,T0699,16.8,16.8,0.0
DISKWRITE,T0700,99.9,99.9,0.0
DISKWRITE,T0701,16.0,16.0,0.0
DISKWRITE,T0702,111.9,111.9,0.0
DISKWRITE,T0703,18.4,18.4,0.0
DISKWRITE,T0704,96.7,96.7,0.0
DISKWRITE,T0705,31.2,31.2,0.0
DISKWRITE,T0706,103.1,103.1,0.0
DISKWRITE,T0707,3.2,3.2,0.0
DISKWRITE,T0708,156.6,156.6,0.0
DISKWRITE,T0709,31.2,31.2,0.0
DISKWRITE,T0710,86.3,86.3,0.0
DISKWRITE,T0711,23.2,23.2,0.0
DISKWRITE,T0712,107.1,107.1,0.0
DISKWRITE,T0713,30.4,30.4,0.0
DISKWRITE,T0714,85.5,85.5,0.0
DISKWRITE,T0715,33.6,33.6,0.0
DISKWRITE,T0716,78.3,78.3,0.0
DISKWRITE,T0717,28.0,28.0,0.0
DISKWRITE,T0718,76.7,76.7,0.0
DISKWRITE,T0719,34.4,34.4,0.0
DISKWRITE,T0720,147.8,147.8,0.0
DISKWRITE,T0721,13.6,13.6,0.0
DISKWRITE,T0722,101.5,101.5,0.0
DISKWRITE,T0723,12.8,12.8,0.0
DISKWRITE,T0724,95.1,95.1,0.0
DISKWRITE,T0725,9.6,9.6,0.0
DISKWRITE,T0726,129.5,129.5,0.0
DISKWRITE,T0727,10.4,10.4,0.0
DISKWRITE,T0728,99.9,99.9,0.0
DISKWRITE,T0729,15.2,15.2,0.0
DISKWRITE,T0730,90.9,90.9,0.0
DISKWRITE,T0731,21.6,21.6,0.0
DISKWRITE,T0732,130.3,130.3,0.0
DISKWRITE,T0733,42.3,42.3,0.0
DISKWRITE,T0734,83.9,83.9,0.0
DISKWRITE,T0735,30.4,30.4,0.0
DISKWRITE,T0736,82.3,82.3,0.0
DISKWRITE,T0737,29.6,29.6,0.0
DISKWRITE,T0738,96.7,96.7,0.0
DISKWRITE,T0739,9.6,9.6,0.0
DISKWRITE,T0740,115.9,115.9,0.0
DISKWRITE,T0741,13.6,13.6,0.0
DISKWRITE,T0742,95.0,95.0,0.0
DISKWRITE,T0743,15.2,15.2,0.0
DISKWRITE,T0744,149.4,149.4,0.0
DISKWRITE,T0745,12.0,12.0,0.0
DISKWRITE,T0746,94.3,94.3,0.0
DISKWRITE,T0747,35.2,35.2,0.0
DISKWRITE,T0748,98.3,98.3,0.0
DISKWRITE,T0749,13.6,13.6,0.0
DISKWRITE,T0750,96.7,96.7,0.0
DISKWRITE,T0751,24.0,24.0,0.0
DISKWRITE,T0752,81.5,81.5,0.0
DISKWRITE,T0753,23.2,23.2,0.0
DISKWRITE,T0754,112.7,112.7,0.0
DISKWRITE,T0755,25.6,25.6,0.0
DISKWRITE,T0756,160.6,160.6,0.0
DISKWRITE,T0757,37.6,37.6,0.0
DISKWRITE,T0758,79.1,79.1,0.0
DISKWRITE,T0759,28.8,28.8,0.0
DISKWRITE,T0760,76.7,76.7,0.0
DISKWRITE,T0761,40.0,40.0,0.0
DISKWRITE,T0762,110.3,110.3,0.0
DISKWRITE,T0763,12.8,12.8,0.0
DISKWRITE,T0764,99.1,99.1,0.0
DISKWRITE,T0765,12.8,12.8,0.0
DISKWRITE,T0766,95.9,95.9,0.0
DISKWRITE,T0767,65.5,65.5,0.0
DISKWRITE,T0768,137.4,137.4,0.0
DISKWRITE,T0769,18.4,18.4,0.0
DISKWRITE,T0770,98.3,98.3,0.0
DISKWRITE,T0771,23.2,23.2,0.0
DISKWRITE,T0772,73.5,73.5,0.0
DISKWRITE,T0773,22.4,22.4,0.0
DISKWRITE,T0774,87.1,87.1,0.0
DISKWRITE,T0775,52.7,52.7,0.0
DISKWRITE,T0776,85.5,85.5,0.0
DISKWRITE,T0777,99.9,99.9,0.0
DISKWRITE,T0778,91.1,91.1,0.0
DISKWRITE,T0779,29.6,29.6,0.0
DISKWRITE,T0780,83.9,83.9,0.0
DISKWRITE,T0781,27.2,27.2,0.0
DISKWRITE,T0782,103.1,103.1,0.0
DISKWRITE,T0783,13.6,13.6,0.0
DISKWRITE,T0784,96.7,96.7,0.0
DISKWRITE,T0785,15.2,15.2,0.0
DISKWRITE,T0786,109.5,109.5,0.0
DISKWRITE,T0787,9.6,9.6,0.0
DISKWRITE,T0788,95.1,95.1,0.0
DISKWRITE,T0789,35.2,35.2,0.0
DISKWRITE,T0790,99.1,99.1,0.0
DISKWRITE,T0791,12.0,12.0,0.0
DISKWRITE,T0792,149.4,149.4,0.0
DISKWRITE,T0793,9.6,9.6,0.0
DISKWRITE,T0794,94.3,94.3,0.0
DISKWRITE,T0795,5.6,5.6,0.0
DISKWRITE,T0796,99.1,99.1,0.0
DISKWRITE,T0797,24.0,24.0,0.0
DISKWRITE,T0798,99.1,99.1,0.0
DISKWRITE,T0799,27.2,27.2,0.0
DISKWRITE,T0800,84.7,84.7,0.0
DISKWRITE,T0801,27.2,27.2,0.0
DISKWRITE,T0802,83.9,83.9,0.0
DISKWRITE,T0803,50.3,50.3,0.0
DISKWRITE,T0804,126.3,126.3,0.0
DISKWRITE,T0805,34.4,34.4,0.0
DISKWRITE,T0806,79.1,79.1,0.0
DISKWRITE,T0807,12.8,12.8,0.0
DISKWRITE,T0808,94.3,94.3,0.0
DISKWRITE,T0809,15.2,15.2,0.0
DISKWRITE,T0810,135.0,135.0,0.0
DISKWRITE,T0811,10.4,10.4,0.0
DISKWRITE,T0812,99.9,99.9,0.0
DISKWRITE,T0813,14.4,14.4,0.0
DISKWRITE,T0814,98.3,98.3,0.0
DISKWRITE,T0815,9.6,9.6,0.0
DISKWRITE,T0816,181.4,181.4,0.0
DISKWRITE,T0817,19.2,19.2,0.0
DISKWRITE,T0818,106.3,106.3,0.0
DISKWRITE,T0819,1.6,1.6,0.0
DISKWRITE,T0820,87.1,87.1,0.0
DISKWRITE,T0821,24.0,24.0,0.0
DISKWRITE,T0822,90.3,90.3,0.0
DISKWRITE,T0823,27.2,27.2,0.0
DISKWRITE,T0824,102.3,102.3,0.0
DISKWRITE,T0825,28.8,28.8,0.0
DISKWRITE,T0826,79.1,79.1,0.0
DISKWRITE,T0827,34.4,34.4,0.0
DISKWRITE,T0828,124.7,124.7,0.0
DISKWRITE,T0829,27.2,27.2,0.0
DISKWRITE,T0830,83.9,83.9,0.0
DISKWRITE,T0831,31.2,31.2,0.0
DISKWRITE,T0832,95.9,95.9,0.0
DISKWRITE,T0833,13.6,13.6,0.0
DISKWRITE,T0834,111.9,111.9,0.0
DISKWRITE,T0835,19.2,19.2,0.0
DISKWRITE,T0836,95.1,95.1,0.0
DISKWRITE,T0837,16.0,16.0,0.0
DISKWRITE,T0838,123.1,123.1,0.0
DISKWRITE,T0839,10.4,10.4,0.0
DISKWRITE,T0840,150.2,150.2,0.0
DISKWRITE,T0841,3.2,3.2,0.0
DISKWRITE,T0842,84.6,84.6,0.0
DISKWRITE,T0843,21.6,21.6,0.0
DISKWRITE,T0844,89.5,89.5,0.0
DISKWRITE,T0845,620.1,620.1,0.0
DISKWRITE,T0846,100.7,100.7,0.0
DISKWRITE,T0847,30.4,30.4,0.0
DISKWRITE,T0848,83.1,83.1,0.0
DISKWRITE,T0849,30.4,30.4,0.0
DISKWRITE,T0850,77.5,77.5,0.0
DISKWRITE,T0851,44.0,44.0,0.0
DISKWRITE,T0852,153.4,153.4,0.0
DISKWRITE,T0853,12.8,12.8,0.0
DISKWRITE,T0854,103.9,103.9,0.0
DISKWRITE,T0855,15.2,15.2,0.0
DISKWRITE,T0856,99.9,99.9,0.0
DISKWRITE,T0857,9.6,9.6,0.0
DISKWRITE,T0858,122.3,122.3,0.0
DISKWRITE,T0859,37.6,37.6,0.0
DISKWRITE,T0860,95.1,95.1,0.0
DISKWRITE,T0861,12.8,12.8,0.0
DISKWRITE,T0862,98.3,98.3,0.0
DISKWRITE,T0863,10.4,10.4,0.0
DISKWRITE,T0864,112.6,112.6,0.0
DISKWRITE,T0865,28.8,28.8,0.0
DISKWRITE,T0866,101.5,101.5,0.0
DISKWRITE,T0867,24.0,24.0,0.0
DISKWRITE,T0868,83.1,83.1,0.0
DISKWRITE,T0869,32.8,32.8,0.0
DISKWRITE,T0870,89.5,89.5,0.0
DISKWRITE,T0871,27.2,27.2,0.0
DISKWRITE,T0872,84.7,84.7,0.0
DISKWRITE,T0873,57.5,57.5,0.0
DISKWRITE,T0874,79.1,79.1,0.0
DISKWRITE,T0875,13.6,13.6,0.0
DISKWRITE,T0876,195.8,195.8,0.0
DISKWRITE,T0877,17.6,17.6,0.0
DISKWRITE,T0878,95.1,95.1,0.0
DISKWRITE,T0879,17.6,17.6,0.0
DISKWRITE,T0880,119.9,119.9,0.0
DISKWRITE,T0881,10.4,10.4,0.0
DISKWRITE,T0882,103.9,103.9,0.0
DISKWRITE,T0883,16.0,16.0,0.0
DISKWRITE,T0884,95.9,95.9,0.0
DISKWRITE,T0885,0.0,0.0,0.0
DISKWRITE,T0886,89.5,89.5,0.0
DISKWRITE,T0887,40.8,40.8,0.0
DISKWRITE,T0888,160.6,160.6,0.0
DISKWRITE,T0889,24.0,24.0,0.0
DISKWRITE,T0890,87.9,87.9,0.0
DISKWRITE,T0891,30.4,30.4,0.0
DISKWRITE,T0892,78.3,78.3,0.0
DISKWRITE,T0893,33.6,33.6,0.0
DISKWRITE,T0894,113.5,113.5,0.0
DISKWRITE,T0895,28.0,28.0,0.0
DISKWRITE,T0896,79.9,79.9,0.0
DISKWRITE,T0897,16.0,16.0,0.0
DISKWRITE,T0898,97.5,97.5,0.0
DISKWRITE,T0899,9.6,9.6,0.0
DISKWRITE,T0900,151.0,151.0,0.0
DISKWRITE,T0901,32.8,32.8,0.0
DISKWRITE,T0902,96.7,96.7,0.0
DISKWRITE,T0903,11.2,11.2,0.0
DISKWRITE,T0904,99.9,99.9,0.0
DISKWRITE,T0905,12.0,12.0,0.0
DISKWRITE,T0906,115.1,115.1,0.0
DISKWRITE,T0907,91.1,91.1,0.0
DISKWRITE,T0908,72.7,72.7,0.0
DISKWRITE,T0909,23.2,23.2,0.0
DISKWRITE,T0910,82.3,82.3,0.0
DISKWRITE,T0911,21.6,21.6,0.0
DISKWRITE,T0912,78.3,78.3,0.0
DISKWRITE,T0913,34.0,34.0,0.0
DISKWRITE,T0914,107.1,107.1,0.0
DISKWRITE,T0915,32.8,32.8,0.0
DISKWRITE,T0916,76.7,76.7,0.0
DISKWRITE,T0917,9.6,9.6,0.0
DISKWRITE,T0918,114.3,114.3,0.0
DISKWRITE,T0919,9.6,9.6,0.0
DISKWRITE,T0920,95.1,95.1,0.0
DISKWRITE,T0921,37.5,37.5,0.0
DISKWRITE,T0922,100.7,100.7,0.0
DISKWRITE,T0923,9.6,9.6,0.0
DISKWRITE,T0924,99.1,99.1,0.0
DISKWRITE,T0925,59.1,59.1,0.0
DISKWRITE,T0926,95.9,95.9,0.0
DISKWRITE,T0927,9.6,9.6,0.0
DISKWRITE,T0928,104.7,104.7,0.0
DISKWRITE,T0929,24.8,24.8,0.0
DISKWRITE,T0930,94.3,94.3,0.0
DISKWRITE,T0931,25.6,25.6,0.0
DISKWRITE,T0932,83.1,83.1,0.0
DISKWRITE,T0933,22.4,22.4,0.0
DISKWRITE,T0934,81.5,81.5,0.0
DISKWRITE,T0935,55.9,55.9,0.0
DISKWRITE,T0936,82.3,82.3,0.0
DISKWRITE,T0937,115.1,115.1,0.0
DISKWRITE,T0938,76.7,76.7,0.0
DISKWRITE,T0939,11.2,11.2,0.0
DISKWRITE,T0940,93.5,93.5,0.0
DISKWRITE,T0941,9.6,9.6,0.0
DISKWRITE,T0942,143.1,143.1,0.0
DISKWRITE,T0943,17.6,17.6,0.0
DISKWRITE,T0944,96.7,96.7,0.0
DISKWRITE,T0945,10.4,10.4,0.0
DISKWRITE,T0946,98.3,98.3,0.0
DISKWRITE,T0947,9.6,9.6,0.0
DISKWRITE,T0948,99.9,99.9,0.0
DISKWRITE,T0949,102.3,102.3,0.0
DISKWRITE,T0950,78.3,78.3,0.0
DISKWRITE,T0951,21.6,21.6,0.0
DISKWRITE,T0952,83.9,83.9,0.0
DISKWRITE,T0953,22.4,22.4,0.0
DISKWRITE,T0954,89.5,89.5,0.0
DISKWRITE,T0955,22.4,22.4,0.0
DISKWRITE,T0956,111.1,111.1,0.0
DISKWRITE,T0957,32.0,32.0,0.0
DISKWRITE,T0958,75.9,75.9,0.0
DISKWRITE,T0959,28.0,28.0,0.0
DISKWRITE,T0960,82.3,82.3,0.0
DISKWRITE,T0961,52.7,52.7,0.0
DISKWRITE,T0962,94.3,94.3,0.0
DISKWRITE,T0963,36.8,36.8,0.0
DISKWRITE,T0964,99.9,99.9,0.0
DISKWRITE,T0965,11.2,11.2,0.0
DISKWRITE,T0966,124.7,124.7,0.0
DISKWRITE,T0967,9.6,9.6,0.0
DISKWRITE,T0968,95.1,95.1,0.0
DISKWRITE,T0969,9.6,9.6,0.0
DISKWRITE,T0970,93.5,93.5,0.0
DISKWRITE,T0971,9.6,9.6,0.0
DISKWRITE,T0972,145.4,145.4,0.0
DISKWRITE,T0973,28.0,28.0,0.0
DISKWRITE,T0974,87.9,87.9,0.0
DISKWRITE,T0975,22.4,22.4,0.0
DISKWRITE,T0976,103.9,103.9,0.0
DISKWRITE,T0977,21.6,21.6,0.0
DISKWRITE,T0978,137.5,137.5,0.0
DISKWRITE,T0979,27.2,27.2,0.0
DISKWRITE,T0980,78.3,78.3,0.0
DISKWRITE,T0981,28.0,28.0,0.0
DISKWRITE,T0982,91.9,91.9,0.0
DISKWRITE,T0983,44.0,44.0,0.0
DISKWRITE,T0984,92.7,92.7,0.0
DISKWRITE,T0985,39.2,39.2,0.0
DISKWRITE,T0986,94.3,94.3,0.0
DISKWRITE,T0987,10.4,10.4,0.0
DISKWRITE,T0988,95.9,95.9,0.0
DISKWRITE,T0989,9.6,9.6,0.0
DISKWRITE,T0990,112.7,112.7,0.0
DISKWRITE,T0991,17.6,17.6,0.0
DISKWRITE,T0992,135.1,135.1,0.0
DISKWRITE,T0993,10.4,10.4,0.0
DISKWRITE,T0994,93.5,93.5,0.0
DISKWRITE,T0995,0.0,0.0,0.0
DISKWRITE,T0996,161.4,161.4,0.0
DISKWRITE,T0997,29.6,29.6,0.0
DISKWRITE,T0998,340.4,340.4,0.0
DISKWRITE,T0999,47.1,47.1,0.0
DISKWRITE,T1000,87.9,87.9,0.0
